target_id	length	eff_length	est_counts	tpm
ENST00000415118	8	9	0	0
ENST00000434970	9	10	0	0
ENST00000448914	13	4	0	0
ENST00000604642	23	6	0	0
ENST00000603326	19	6.5	0	0
ENST00000604950	31	8.25	0	0
ENST00000603077	31	8.25	0	0
ENST00000605284	17	4.5	0	0
ENST00000604446	23	6	0	0
ENST00000603693	19	6.5	0	0
ENST00000603935	31	8.25	0	0
ENST00000604102	31	8.25	0	0
ENST00000604838	17	4.5	0	0
ENST00000390591	31	8.25	0	0
ENST00000454908	17	4.5	0	0
ENST00000439842	11	2	0	0
ENST00000390567	20	4.25	0	0
ENST00000452198	18	5.5	0	0
ENST00000390569	20	4.25	0	0
ENST00000437320	19	6.5	0	0
ENST00000390571	31	8.25	0	0
ENST00000390572	28	7.44444	0	0
ENST00000450276	17	4.5	0	0
ENST00000390574	21	5.25	0	0
ENST00000390575	20	4.25	0	0
ENST00000431870	16	7	0	0
ENST00000390577	37	11.1765	0	0
ENST00000390578	31	8.25	0	0
ENST00000451044	17	4.5	0	0
ENST00000390580	21	5.25	0	0
ENST00000390581	23	6	0	0
ENST00000431440	16	7	0	0
ENST00000390583	31	8.25	0	0
ENST00000390584	31	8.25	0	0
ENST00000390585	31	8.25	0	0
ENST00000430425	17	4.5	0	0
ENST00000454691	18	5.5	0	0
ENST00000390588	20	4.25	0	0
ENST00000414852	16	7	0	0
ENST00000390590	31	8.25	0	0
ENST00000604319	11	2	0	0
ENST00000603768	20	4.25	0	0
ENST00000604592	18	5.5	0	0
ENST00000605864	20	4.25	0	0
ENST00000603644	19	6.5	0	0
ENST00000603804	31	8.25	0	0
ENST00000604055	28	7.44444	0	0
ENST00000603618	17	4.5	0	0
ENST00000603316	21	5.25	0	0
ENST00000605850	20	4.25	0	0
ENST00000603007	16	7	0	0
ENST00000603235	37	11.1765	0	0
ENST00000605143	31	8.25	0	0
ENST00000603340	17	4.5	0	0
ENST00000603359	21	5.25	0	0
ENST00000604735	23	6	0	0
ENST00000603379	16	7	0	0
ENST00000604309	31	8.25	0	0
ENST00000604234	31	8.25	0	0
ENST00000603739	31	8.25	0	0
ENST00000604564	17	4.5	0	0
ENST00000603303	18	5.5	0	0
ENST00000605430	20	4.25	0	0
ENST00000605685	16	7	0	0
ENST00000603725	31	8.25	0	0
ENST00000605709	31	8.25	0	0
ENST00000604111	17	4.5	0	0
ENST00000390340	463	297.06	0	0
ENST00000390341	512	345.936	0	0
ENST00000444775	1735	1570.54	1	0.0197529
ENST00000390343	468	302.03	0	0
ENST00000390344	552	405.967	1	0.0764165
ENST00000390345	688	524.174	3	0.177551
ENST00000390346	537	372.596	2	0.166522
ENST00000426402	544	377.866	0	0
ENST00000390348	465	299.06	0	0
ENST00000563469	421	255.573	0	0
ENST00000564780	391	226.105	0	0
ENST00000562440	373	208.536	0	0
ENST00000568724	652	485.866	0	0
ENST00000563832	401	235.943	0	0
ENST00000565028	380	215.28	0	0
ENST00000569652	455	289.089	0	0
ENST00000562386	392	227.105	0	0
ENST00000563669	344	180.56	0	0
ENST00000564083	392	227.105	0	0
ENST00000567755	386	221.105	0	0
ENST00000565091	365	200.742	0	0
ENST00000561716	397	262.028	0.000862394	0.000102102
ENST00000566862	343	179.579	0	0
ENST00000569470	390	225.105	0	0
ENST00000569366	412	246.774	0	0
ENST00000563245	364	199.782	0	0
ENST00000563791	395	230.036	0	0
ENST00000567630	410	244.799	0	0
ENST00000566285	347	183.321	0	0
ENST00000568011	544	433.024	0.5	0.0358209
ENST00000565578	388	223.105	0	0
ENST00000567655	350	186.191	0	0
ENST00000569960	344	180.56	0	0
ENST00000564119	392	227.105	0	0
ENST00000563598	384	219.127	0	0
ENST00000569944	341	177.669	0	0
ENST00000568405	347	183.321	0	0
ENST00000563141	343	179.579	0	0
ENST00000562511	344	180.56	0	0
ENST00000567144	386	221.105	0	0
ENST00000565894	478	311.968	0	0
ENST00000564548	411	245.799	0	0
ENST00000563042	386	221.105	0	0
ENST00000566578	392	227.105	0	0
ENST00000565202	392	227.105	0	0
ENST00000566020	406	240.847	0	0
ENST00000565836	406	240.847	0	0
ENST00000568728	411	245.799	0	0
ENST00000565754	406	240.847	0	0
ENST00000562412	421	255.573	0	0
ENST00000563122	347	183.321	0	0
ENST00000568296	344	180.56	0	0
ENST00000566373	428	262.418	0	0
ENST00000566680	552	385.866	0	0
ENST00000563174	413	247.749	0	0
ENST00000564695	347	183.321	0	0
ENST00000566736	381	216.236	0	0
ENST00000562278	381	216.236	0	0
ENST00000564229	387	239.618	6	0.7768
ENST00000567778	364	199.782	0	0
ENST00000566487	402	236.919	0	0
ENST00000567307	447	281.146	0	0
ENST00000455382	421	255.573	0	0
ENST00000390387	391	226.105	0	0
ENST00000390357	373	208.536	0	0
ENST00000390381	652	485.866	0	0
ENST00000390353	401	235.943	0	0
ENST00000547918	380	215.28	0	0
ENST00000390392	455	289.089	0	0
ENST00000390359	386	221.105	0	0
ENST00000390379	344	180.56	0	0
ENST00000390378	343	179.579	0	0
ENST00000390377	347	183.321	0	0
ENST00000390376	341	177.669	0	0
ENST00000390375	384	219.127	0	0
ENST00000390374	392	227.105	0	0
ENST00000390373	344	180.56	0	0
ENST00000390372	350	186.191	0	0
ENST00000390371	388	223.105	0	0
ENST00000454561	544	433.024	0.5	0.0358209
ENST00000390369	347	183.321	0	0
ENST00000390368	410	244.799	0	0
ENST00000426318	395	230.036	0	0
ENST00000390367	364	199.782	0	0
ENST00000390364	412	246.774	0	0
ENST00000390363	390	225.105	0	0
ENST00000390362	343	179.579	0	0
ENST00000390361	397	261.216	0.999138	0.11866
ENST00000390360	365	200.742	0	0
ENST00000390393	552	385.866	0	0
ENST00000390394	413	247.749	0	0
ENST00000390396	347	183.321	0	0
ENST00000390397	381	216.236	0	0
ENST00000390398	381	216.236	0	0
ENST00000390399	387	234.9	0	0
ENST00000390400	364	199.782	0	0
ENST00000422143	402	236.919	0	0
ENST00000417977	447	281.146	0	0
ENST00000379435	416	259.099	3	0.359198
ENST00000331828	367	202.722	0	0
ENST00000390389	335	171.827	0	0
ENST00000542354	392	227.105	0	0
ENST00000390423	402	236.919	0	0
ENST00000390424	348	184.266	0	0
ENST00000390425	519	352.866	0	0
ENST00000390426	395	230.036	0	0
ENST00000390427	352	188.116	0	0
ENST00000390428	404	227.907	1	0.13612
ENST00000390429	337	173.775	0	0
ENST00000390430	473	307.03	0	0
ENST00000390431	338	174.758	0	0
ENST00000390432	379	214.344	0	0
ENST00000390433	340	176.704	0	0
ENST00000390434	566	399.866	0	0
ENST00000390435	341	182.144	1	0.170319
ENST00000390436	360	195.961	0	0
ENST00000390437	445	279.202	0	0
ENST00000390438	469	312.366	1	0.0993148
ENST00000390439	410	244.799	0	0
ENST00000390440	425	259.47	0	0
ENST00000390441	394	229.105	0	0
ENST00000390442	399	233.966	0	0
ENST00000390443	561	394.866	0	0
ENST00000390444	329	166.237	0	0
ENST00000390445	484	317.968	0	0
ENST00000390446	440	272.609	2	0.227597
ENST00000390447	467	301.03	0	0
ENST00000390448	406	240.847	0	0
ENST00000390449	343	179.579	0	0
ENST00000390450	464	298.06	0	0
ENST00000390451	409	243.799	0	0
ENST00000390452	365	200.742	0	0
ENST00000390453	343	179.579	0	0
ENST00000390454	403	237.872	0	0
ENST00000390455	537	370.866	0	0
ENST00000390456	341	177.669	0	0
ENST00000390457	425	259.47	0	0
ENST00000390458	469	303.03	0	0
ENST00000557168	337	167.855	1	0.184818
ENST00000390460	327	164.354	0	0
ENST00000390461	349	185.229	0	0
ENST00000390462	330	167.119	0	0
ENST00000390463	356	192.039	0	0
ENST00000390464	353	189.097	0	0
ENST00000390465	395	230.036	0	0
ENST00000390466	331	168.051	0	0
ENST00000390467	317	155.08	0	0
ENST00000390468	336	172.793	0	0
ENST00000390469	520	353.866	0	0
ENST00000535880	425	259.47	0	0
ENST00000591655	1589	1421.29	0	0
ENST00000586762	590	423.866	0	0
ENST00000589989	578	411.866	0	0
ENST00000588823	622	455.866	0	0
ENST00000579578	1410	1261.85	0.5968	0.0146723
ENST00000541415	944	777.866	0	0
ENST00000553765	940	773.866	0	0
